Model,Distance Metric,Precision@5,mAP,Top-1 Accuracy,Recall@5,Avg Search Time (s)
basemodel_ViT_bs64+augm+iNat,euclidean,0.8541436464088398,0.9020013672637981,0.8890005022601708,0.07474263303589186,0.0003413790018339363
basemodel_ViT_bs64+augm+iNat,manhattan,0.8331491712707182,0.89246191193705,0.8789552988448016,0.07070553304965459,0.0002613867544636901
basemodel_ViT_bs64+augm+iNat,cosine,0.8649924660974385,0.9073915955131424,0.8955298844801607,0.07630439183756729,0.0003560831174366681
basemodel_ViT_bs64+augm+iNat,faiss_euclidean,0.8541436464088398,0.9020013672637981,0.8890005022601708,0.07474263303589186,7.085690002594684e-05
basemodel_ViT_bs64+augm+iNat,faiss_cosine,0.8649924660974385,0.9073915955131424,0.8955298844801607,0.07630439183756729,0.00016092451776708567
googlenet_bs128+aug,euclidean,0.6959316926167755,0.7933883029186896,0.7639377197388247,0.05665294571443395,0.000341347268572529
googlenet_bs128+aug,manhattan,0.6609743847312908,0.7775915229644511,0.7388247112004018,0.05156029574400091,0.00026364077400885776
googlenet_bs128+aug,cosine,0.7284781516825716,0.8143151124504715,0.7850326469111,0.06115623652278598,0.0003594513935757785
googlenet_bs128+aug,faiss_euclidean,0.6959316926167755,0.7933883029186896,0.7639377197388247,0.05665294571443395,7.03185123154292e-05
googlenet_bs128+aug,faiss_cosine,0.7284781516825716,0.8143151124504715,0.7850326469111,0.06115623652278598,0.0001636600446485503
resnet50_bs16+aug+iNat,euclidean,0.7640381717729785,0.8444967632122328,0.8206931190356604,0.06491466141854656,0.0003434204684017532
resnet50_bs16+aug+iNat,manhattan,0.7327975891511803,0.8274268932418104,0.801607232546459,0.05990960525098102,0.0002643686033025691
resnet50_bs16+aug+iNat,cosine,0.7802109492717229,0.8527442937663932,0.8307383224510296,0.0671042429662168,0.0003593685278516508
resnet50_bs16+aug+iNat,faiss_euclidean,0.7640381717729785,0.8444967632122328,0.8206931190356604,0.06491466141854656,7.04071259510571e-05
resnet50_bs16+aug+iNat,faiss_cosine,0.7802109492717229,0.8527442937663932,0.8307383224510296,0.0671042429662168,0.0001626069793624533
