Path,Precision@5,AP,Top-1 Accuracy,Recall@5,Search Time (s),Query Label
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0221.JPG,1.0,1.0,1,0.05747126436781609,0.00023818016052246094,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0230.JPG,1.0,1.0,1,0.05747126436781609,0.0001780986785888672,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0231.JPG,1.0,1.0,1,0.05747126436781609,0.00017905235290527344,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0233.JPG,1.0,1.0,1,0.05747126436781609,0.00016951560974121094,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0234.JPG,1.0,1.0,1,0.05747126436781609,0.00016832351684570312,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0670.JPG,1.0,1.0,1,0.05747126436781609,0.00016570091247558594,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0671.JPG,0.0,0.0,0,0.0,0.0001647472381591797,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0118.JPG,1.0,1.0,1,0.05747126436781609,0.00016260147094726562,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0123.JPG,1.0,1.0,1,0.05747126436781609,0.00016450881958007812,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0133.JPG,1.0,1.0,1,0.05747126436781609,0.00016117095947265625,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0137.JPG,1.0,1.0,1,0.05747126436781609,0.00016450881958007812,acinonyx jubatus
