Path,Precision@5,AP,Top-1 Accuracy,Recall@5,Search Time (s),Query Label
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0221.JPG,0.8,0.8875,1,0.04597701149425287,0.0007891654968261719,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0230.JPG,0.6,0.5333333333333333,0,0.034482758620689655,0.0003917217254638672,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0231.JPG,0.8,0.8875,1,0.04597701149425287,0.00038361549377441406,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0233.JPG,1.0,1.0,1,0.05747126436781609,0.00036525726318359375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0234.JPG,0.8,1.0,1,0.04597701149425287,0.0003600120544433594,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0670.JPG,0.2,1.0,1,0.011494252873563218,0.0003581047058105469,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0671.JPG,0.2,1.0,1,0.011494252873563218,0.0003566741943359375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0118.JPG,1.0,1.0,1,0.05747126436781609,0.00034999847412109375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0123.JPG,1.0,1.0,1,0.05747126436781609,0.0003466606140136719,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0133.JPG,1.0,1.0,1,0.05747126436781609,0.0003523826599121094,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0137.JPG,1.0,1.0,1,0.05747126436781609,0.0003476142883300781,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0139.JPG,1.0,1.0,1,0.05747126436781609,0.0003495216369628906,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0141.JPG,1.0,1.0,1,0.05747126436781609,0.0003643035888671875,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0142.JPG,1.0,1.0,1,0.05747126436781609,0.0003478527069091797,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0148.JPG,1.0,1.0,1,0.05747126436781609,0.00034618377685546875,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140812-PICT0142.JPG,0.4,0.325,0,0.022988505747126436,0.00034546852111816406,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0127.JPG,1.0,1.0,1,0.05747126436781609,0.00034999847412109375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0139.JPG,1.0,1.0,1,0.05747126436781609,0.0003504753112792969,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0143.JPG,1.0,1.0,1,0.05747126436781609,0.0003485679626464844,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0146.JPG,1.0,1.0,1,0.05747126436781609,0.0003466606140136719,acinonyx jubatus
