Path,Precision@5,AP,Top-1 Accuracy,Recall@5,Search Time (s),Query Label
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0221.JPG,0.6,0.9166666666666666,1,0.034482758620689655,0.00041174888610839844,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0230.JPG,0.4,0.5,0,0.022988505747126436,0.0002989768981933594,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0231.JPG,0.6,0.9166666666666666,1,0.034482758620689655,0.0002856254577636719,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0233.JPG,1.0,1.0,1,0.05747126436781609,0.00028133392333984375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140307-PICT0234.JPG,0.8,0.8875,1,0.04597701149425287,0.0002765655517578125,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0670.JPG,0.2,1.0,1,0.011494252873563218,0.00027298927307128906,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140428-PICT0671.JPG,0.2,1.0,1,0.011494252873563218,0.0002694129943847656,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0118.JPG,1.0,1.0,1,0.05747126436781609,0.00026917457580566406,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0123.JPG,1.0,1.0,1,0.05747126436781609,0.0002703666687011719,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0133.JPG,1.0,1.0,1,0.05747126436781609,0.0002682209014892578,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0137.JPG,1.0,1.0,1,0.05747126436781609,0.0002765655517578125,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0139.JPG,1.0,1.0,1,0.05747126436781609,0.0002696514129638672,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0141.JPG,1.0,1.0,1,0.05747126436781609,0.0002639293670654297,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0142.JPG,0.8,0.8041666666666667,1,0.04597701149425287,0.00026702880859375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140811-PICT0148.JPG,1.0,1.0,1,0.05747126436781609,0.00026988983154296875,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140812-PICT0142.JPG,0.4,0.7,1,0.022988505747126436,0.0002675056457519531,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0127.JPG,1.0,1.0,1,0.05747126436781609,0.00026679039001464844,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0139.JPG,1.0,1.0,1,0.05747126436781609,0.0002658367156982422,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0143.JPG,1.0,1.0,1,0.05747126436781609,0.0002665519714355469,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20140908-PICT0146.JPG,1.0,1.0,1,0.05747126436781609,0.0002663135528564453,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150126-RCX_0351.JPG,1.0,1.0,1,0.05747126436781609,0.0002639293670654297,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150126-RCX_0354.JPG,1.0,1.0,1,0.05747126436781609,0.0002617835998535156,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150203-RCX_0339.JPG,0.6,0.7555555555555555,1,0.034482758620689655,0.00026416778564453125,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150213-PICT0066.JPG,0.0,0.0,0,0.0,0.0002741813659667969,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150222-PICT0022.JPG,0.0,0.0,0,0.0,0.00026988983154296875,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0007.JPG,1.0,1.0,1,0.05747126436781609,0.00026488304138183594,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0009.JPG,1.0,1.0,1,0.05747126436781609,0.0002636909484863281,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0011.JPG,1.0,1.0,1,0.05747126436781609,0.000263214111328125,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0014.JPG,1.0,1.0,1,0.05747126436781609,0.0002658367156982422,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0020.JPG,1.0,1.0,1,0.05747126436781609,0.00026345252990722656,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0030.JPG,1.0,1.0,1,0.05747126436781609,0.0002651214599609375,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0031.JPG,1.0,1.0,1,0.05747126436781609,0.0002684593200683594,acinonyx jubatus
../balanced_dataset_split/balanced_dataset_split/test/acinonyx jubatus/acinonyx jubatus_20150622-PICT0035.JPG,1.0,1.0,1,0.05747126436781609,0.00026226043701171875,acinonyx jubatus
