path,category,brightness,contrast,laplacian_var
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0352.JPG,acinonyx jubatus,33.226032355344095,68.71160331499736,228.91504081445805
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0336.JPG,acinonyx jubatus,17.20868813977797,15.72415975880307,237.46307391753257
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0337.JPG,acinonyx jubatus,17.509685527601565,15.782424435702104,231.883692604722
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0338.JPG,acinonyx jubatus,17.594732319500512,15.834713236510348,235.3307593524436
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0339.JPG,acinonyx jubatus,17.704981257208765,15.868498024399862,233.51856000218856
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0340.JPG,acinonyx jubatus,17.83346098856209,15.900865398101486,231.88981525057923
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0007.JPG,acinonyx jubatus,89.01371256510417,58.05036164243703,99.96164778521069
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0008.JPG,acinonyx jubatus,90.46089285391348,59.86783903996815,99.19376815413712
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0009.JPG,acinonyx jubatus,89.45583993417246,58.48901897291205,87.16166653382925
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0010.JPG,acinonyx jubatus,81.87392142966941,51.41907906950495,57.782113355019
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0011.JPG,acinonyx jubatus,81.11391321818034,50.800521684760696,56.81999552929429
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0012.JPG,acinonyx jubatus,89.34631305270725,58.26389988253055,80.19841495943307
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0019.JPG,acinonyx jubatus,87.78462544193974,32.548540060348216,29.724856393150656
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0020.JPG,acinonyx jubatus,85.55558126944082,31.827542376740805,29.643684739077155
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0021.JPG,acinonyx jubatus,89.32089939823857,33.02732991639002,30.283460452252942
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0022.JPG,acinonyx jubatus,94.29304306595414,31.358509004404304,30.564432861421214
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0023.JPG,acinonyx jubatus,92.35961320665147,30.74073929522567,30.70155428009921
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0024.JPG,acinonyx jubatus,92.55104305126048,30.29932241014309,30.99965931951984
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0025.JPG,acinonyx jubatus,90.64400241993091,21.198689977760345,34.656351504528175
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0026.JPG,acinonyx jubatus,89.5497967755353,21.280527580142312,35.14692630561732
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0027.JPG,acinonyx jubatus,89.65565391823098,21.455551121568103,35.42104078246275
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0028.JPG,acinonyx jubatus,88.31310032032154,21.494456766274297,38.17113610789061
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0029.JPG,acinonyx jubatus,88.51412723682544,21.69529802785529,38.48468220576538
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0030.JPG,acinonyx jubatus,88.77238704540112,22.10969306174605,39.18509404860221
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0031.JPG,acinonyx jubatus,83.9870526349103,29.708459901124755,45.303851646559984
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0032.JPG,acinonyx jubatus,88.0463365625452,26.710328587434457,50.53974391587349
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0033.JPG,acinonyx jubatus,87.82513498376917,27.0362829128758,50.79936467159808
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0034.JPG,acinonyx jubatus,76.62661460593894,49.631715289818125,92.03172994218812
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0035.JPG,acinonyx jubatus,75.8671848155834,49.61998528340788,92.41261850579627
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0036.JPG,acinonyx jubatus,76.8003648828577,50.28977361633679,95.3297596349296
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0038.JPG,acinonyx jubatus,75.50119484795465,55.99940710648926,119.09506445444846
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0046.JPG,acinonyx jubatus,67.77525131790726,63.6910548630311,119.1564275895849
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0050.JPG,acinonyx jubatus,111.09021561234086,91.20352436993326,115.41521052189157
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0051.JPG,acinonyx jubatus,109.99702128657589,90.98313046003555,115.23485336296775
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150622-PICT0064.JPG,acinonyx jubatus,107.80414425885236,91.02266866217111,119.96748016378
