Image Path,Classification
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20110222-PICT6562.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140107-PICT0076.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0220.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0222.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0223.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0224.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0225.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0226.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0227.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0228.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0229.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0232.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140307-PICT0235.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140329-PICT0142.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140329-PICT0143.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140329-PICT0144.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140428-PICT0669.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140428-PICT0672.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0106.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0107.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0109.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0110.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0111.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0113.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0114.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0115.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0116.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0117.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0119.JPG,Day
