path,category,brightness,contrast,laplacian_var,issue
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0336.JPG,acinonyx jubatus,17.20868813977797,15.72415975880307,237.46307391753257,underexposed
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0337.JPG,acinonyx jubatus,17.509685527601565,15.782424435702104,231.883692604722,underexposed
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0338.JPG,acinonyx jubatus,17.594732319500512,15.834713236510348,235.3307593524436,underexposed
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0339.JPG,acinonyx jubatus,17.704981257208765,15.868498024399862,233.51856000218856,underexposed
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0340.JPG,acinonyx jubatus,17.83346098856209,15.900865398101486,231.88981525057923,underexposed
balanced_dataset\acinonyx jubatus\acinonyx jubatus_PICT0301.JPG,acinonyx jubatus,16.95923355300045,48.14448879854794,222.44539374202728,underexposed
balanced_dataset\canis mesomelas\canis mesomelas_20150926-RCX_1204.JPG,canis mesomelas,12.92138671875,20.359869874105584,218.915177187764,underexposed
balanced_dataset\canis mesomelas\canis mesomelas_20150926-RCX_1209.JPG,canis mesomelas,12.852226893107096,20.29567201482919,205.643850187048,underexposed
balanced_dataset\canis mesomelas\canis mesomelas_20160227-RCX_1169.JPG,canis mesomelas,15.004225388071896,22.73120756469798,219.16620082747448,underexposed
balanced_dataset\canis mesomelas\canis mesomelas_PICT1524.JPG,canis mesomelas,20.352101512091654,53.496466073083255,465.33100726178566,underexposed
balanced_dataset\canis mesomelas\canis mesomelas_PICT1798.JPG,canis mesomelas,20.679667058819795,53.36572424534563,479.1503512309378,underexposed
balanced_dataset\cn-owls\cn-owls_MDGC0333.JPG,cn-owls,15.876780598958334,32.21727712322094,1606.6953375596363,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20140622-PICT0495.JPG,crocuta crocuta,17.704305936018198,48.51773336533527,238.4749870439099,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20140622-PICT0497.JPG,crocuta crocuta,17.709603377707293,48.543736537120594,238.09565382524508,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20140809-PICT0716.JPG,crocuta crocuta,17.97064793288639,48.35659853002908,242.5697012104982,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20151021-PICT0041.JPG,crocuta crocuta,18.678267523308342,48.87341088924308,225.8706211937213,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20151021-PICT0042.JPG,crocuta crocuta,18.63294741405549,48.85055347581012,225.35848341313675,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20151021-PICT0043.JPG,crocuta crocuta,21.8752202678457,48.51088608117453,267.2187628199872,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20151021-PICT0044.JPG,crocuta crocuta,21.876557268638663,48.50694563262601,268.8899299370464,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_20151021-PICT0045.JPG,crocuta crocuta,21.84483444368352,48.50709226917724,268.2559618104114,underexposed
